Date,Open,High,Low,Close
23-May-2017,,,,616.77,
24-May-2017,,,,613.26,
25-May-2017,,,,625.31,
26-May-2017,,,,640.60,
29-May-2017,,,,637.59,
30-May-2017,,,,640.03,
31-May-2017,,,,642.41,
1-June-2017,,,,640.07,
2-June-2017,,,,641.95,
5-June-2017,,,,643.27,
6-June-2017,,,,639.96,
7-June-2017,,,,641.62,
8-June-2017,,,,642.71,
9-June-2017,,,,649.27,
12-June-2017,,,,646.23,
13-June-2017,,,,644.89,
14-June-2017,,,,642.38,
15-June-2017,,,,638.66,
16-June-2017,,,,640.01,
19-June-2017,,,,643.42,
20-June-2017,,,,645.50,
21-June-2017,,,,641.46,
22-June-2017,,,,635.16,
23-June-2017,,,,627.75,
27-June-2017,,,,623.59,
28-June-2017,,,,628.67,
29-June-2017,,,,631.78,
30-June-2017,,,,634.76,
3-July-2017,,,,643.89,
4-July-2017,,,,642.69,
5-July-2017,,,,648.11,
6-July-2017,,,,649.73,
7-July-2017,,,,648.57,
10-July-2017,,,,652.60,
11-July-2017,,,,652.94,
12-July-2017,,,,661.41,
13-July-2017,,,,667.68,
14-July-2017,,,,668.24,
17-July-2017,,,,671.20,
18-July-2017,,,,668.84,
19-July-2017,,,,677.16,
20-July-2017,,,,673.61,
21-July-2017,,,,675.39,
24-July-2017,,,,674.05,
25-July-2017,,,,678.45,
26-July-2017,,,,685.96,
27-July-2017,,,,684.33,
28-July-2017,,,,685.41,
31-July-2017,,,,692.80,
1-August-2017,,,,699.69,
2-August-2017,,,,697.08,
3-August-2017,,,,694.94,
4-August-2017,,,,709.42,
7-August-2017,,,,719.18,
8-August-2017,,,,711.87,
9-August-2017,,,,701.83,
10-August-2017,,,,685.97,
11-August-2017,,,,682.46,
14-August-2017,,,,699.22,
16-August-2017,,,,705.72,
17-August-2017,,,,704.01,
18-August-2017,,,,703.44,
21-August-2017,,,,692.65,
22-August-2017,,,,694.06,
23-August-2017,,,,705.81,
24-August-2017,,,,710.90,
28-August-2017,,,,715.17,
29-August-2017,,,,708.17,
30-August-2017,,,,721.34,
31-August-2017,,,,723.00,
1-September-2017,,,,730.18,
4-September-2017,,,,722.60,
5-September-2017,,,,726.68,
6-September-2017,,,,729.81,
7-September-2017,,,,737.26,
8-September-2017,,,,732.69,
11-September-2017,,,,741.75,
12-September-2017,,,,748.57,
13-September-2017,,,,738.77,
14-September-2017,,,,740.73,
15-September-2017,,,,738.64,
18-September-2017,,,,743.89,
19-September-2017,,,,744.02,
20-September-2017,,,,743.69,
21-September-2017,,,,739.77,
22-September-2017,,,,720.18,
25-September-2017,,,,710.87,
26-September-2017,,,,717.26,
27-September-2017,,,,702.57,
28-September-2017,,,,705.29,
29-September-2017,,,,710.03,
3-October-2017,,,,717.22,
4-October-2017,,,,720.25,
5-October-2017,,,,719.92,
6-October-2017,,,,730.84,
9-October-2017,,,,733.26,
10-October-2017,,,,738.99,
11-October-2017,,,,731.17,
12-October-2017,,,,742.08,
13-October-2017,,,,746.51,
16-October-2017,,,,747.35,
17-October-2017,,,,747.93,
18-October-2017,,,,749.99,
19-October-2017,,,,745.55,
23-October-2017,,,,746.57,
24-October-2017,,,,747.02,
25-October-2017,,,,738.14,
26-October-2017,,,,743.05,
27-October-2017,,,,746.27,
30-October-2017,,,,750.25,
31-October-2017,,,,747.11,
1-November-2017,,,,750.05,
2-November-2017,,,,748.32,
3-November-2017,,,,748.85,
6-November-2017,,,,748.98,
7-November-2017,,,,738.68,
8-November-2017,,,,732.66,
9-November-2017,,,,735.84,
10-November-2017,,,,734.42,
13-November-2017,,,,727.40,
14-November-2017,,,,725.77,
15-November-2017,,,,715.14,
16-November-2017,,,,722.91,
17-November-2017,,,,730.98,
20-November-2017,,,,735.48,
21-November-2017,,,,735.96,
22-November-2017,,,,735.01,
23-November-2017,,,,734.62,
24-November-2017,,,,736.85,
27-November-2017,,,,737.80,
28-November-2017,,,,739.51,
29-November-2017,,,,739.12,
30-November-2017,,,,728.65,
1-December-2017,,,,717.43,
4-December-2017,,,,716.07,
5-December-2017,,,,718.67,
6-December-2017,,,,712.88,
7-December-2017,,,,724.27,
8-December-2017,,,,732.42,
11-December-2017,,,,733.61,
12-December-2017,,,,728.76,
13-December-2017,,,,720.65,
14-December-2017,,,,723.68,
15-December-2017,,,,734.20,
18-December-2017,,,,740.78,
19-December-2017,,,,752.24,
20-December-2017,,,,750.90,
21-December-2017,,,,751.09,
22-December-2017,,,,754.25,
26-December-2017,,,,757.72,
27-December-2017,,,,754.13,
28-December-2017,755.24,759.08,754.15,755.85,
29-December-2017,758.73,760.44,755.48,756.74,
1-January-2018,758.49,760.12,751.31,752.49,
2-January-2018,753.86,755.94,746.05,750.87,
3-January-2018,754.17,758.23,752.92,753.69,
4-January-2018,755.22,760.74,753.45,759.74,
5-January-2018,761.97,769.26,761.93,768.30,
8-January-2018,771.19,774.51,771.14,773.75,
9-January-2018,774.39,776.03,769.63,772.33,
10-January-2018,774.01,775.19,767.28,769.57,
11-January-2018,769.81,772.43,768.01,769.67,
12-January-2018,771.02,773.52,762.62,769.05,
15-January-2018,771.76,774.77,766.34,767.44,
16-January-2018,768.34,768.89,753.90,755.58,
17-January-2018,756.17,762.79,746.58,761.90,
18-January-2018,766.10,767.92,749.29,753.30,
19-January-2018,755.03,763.33,752.89,762.38,
22-January-2018,765.17,769.81,762.23,768.62,
23-January-2018,771.56,780.96,771.36,778.10,
24-January-2018,777.83,779.26,772.22,776.47,
25-January-2018,777.78,778.66,768.98,770.79,
29-January-2018,774.01,779.25,772.40,773.63,
30-January-2018,773.84,774.67,765.57,766.84,
31-January-2018,766.90,768.29,758.74,763.24,
1-February-2018,764.85,769.94,748.73,765.91,
2-February-2018,762.19,763.01,737.18,739.01,
5-February-2018,728.58,737.06,718.63,735.08,
6-February-2018,709.82,733.23,700.78,727.15,
7-February-2018,734.04,739.45,725.23,727.65,
8-February-2018,729.24,742.40,726.34,738.34,
9-February-2018,729.02,735.95,724.80,733.29,
12-February-2018,739.30,746.67,737.62,745.59,
14-February-2018,748.38,751.58,742.67,745.42,
15-February-2018,746.93,751.39,739.53,742.06,
16-February-2018,745.37,747.98,728.08,729.43,
19-February-2018,731.19,732.32,715.28,721.99,
20-February-2018,723.55,726.91,720.24,721.86,
21-February-2018,723.95,725.05,714.86,718.83,
22-February-2018,717.88,720.76,713.60,717.72,
23-February-2018,719.35,732.87,719.15,732.23,
26-February-2018,735.85,744.86,735.85,744.35,
27-February-2018,747.30,748.45,739.38,740.51,
28-February-2018,737.34,741.14,732.72,738.61,
1-March-2018,737.92,743.43,731.29,733.00,
5-March-2018,731.66,731.81,720.16,721.96,
6-March-2018,728.35,731.31,712.13,715.08,
7-March-2018,713.20,713.71,702.79,703.98,
8-March-2018,707.28,710.65,695.63,706.35,
9-March-2018,708.93,710.94,701.02,702.48,
12-March-2018,706.85,714.85,704.91,713.68,
13-March-2018,712.23,721.38,711.12,716.78,
14-March-2018,715.00,717.63,711.05,716.48,
15-March-2018,717.34,718.95,713.15,714.09,
16-March-2018,713.12,713.66,703.33,704.51,
19-March-2018,707.66,707.94,697.10,698.29,
20-March-2018,697.51,705.14,695.17,703.06,
21-March-2018,704.96,713.04,704.96,708.46,
22-March-2018,709.25,713.45,703.64,704.07,
23-March-2018,693.76,694.90,688.95,693.26,
26-March-2018,692.01,704.23,691.81,702.92,
