Date,Open,High,Low,Close
7-December-2018,771.29,778.47,770.78,777.64,
10-December-2018,772.16,772.16,763.33,764.08,
11-December-2018,759.50,775.30,757.71,773.27,
12-December-2018,775.00,790.43,774.37,789.24,
13-December-2018,793.98,798.23,792.55,797.31,
14-December-2018,798.37,800.12,794.69,797.65,
17-December-2018,800.80,803.17,800.16,802.71,
18-December-2018,802.39,803.87,798.01,802.98,
19-December-2018,804.93,811.35,804.82,810.74,
20-December-2018,808.76,810.06,805.76,808.43,
21-December-2018,809.85,810.48,792.99,794.36,
24-December-2018,795.85,796.32,784.60,786.06,
26-December-2018,785.20,789.23,775.63,786.99,
27-December-2018,791.07,792.94,789.17,791.62,
28-December-2018,793.70,798.72,793.68,796.81,
31-December-2018,799.16,800.80,796.35,797.32,
1-January-2019,799.09,799.90,791.71,796.30,
2-January-2019,796.11,796.29,786.14,789.01,
3-January-2019,789.64,793.72,784.16,784.71,
4-January-2019,786.79,788.92,782.00,785.27,
7-January-2019,789.69,791.04,786.68,787.68,
8-January-2019,789.06,789.08,784.27,785.47,
9-January-2019,787.95,790.29,783.53,788.56,
10-January-2019,789.98,790.58,787.72,789.46,
11-January-2019,790.83,791.01,783.76,786.28,
