Date,Open,High,Low,Close
3-January-2019,275.04,275.27,269.65,270.18,
4-January-2019,270.46,274.63,270.25,274.06,
7-January-2019,276.36,277.36,273.91,274.62,
8-January-2019,274.93,276.33,273.89,275.98,
9-January-2019,276.95,277.29,270.66,272.59,
10-January-2019,272.62,273.22,271.19,271.64,
11-January-2019,272.15,273.02,270.57,271.31,
14-January-2019,272.06,272.09,268.95,270.05,
15-January-2019,271.01,274.13,270.97,273.83,
16-January-2019,274.89,276.47,274.42,274.63,
17-January-2019,275.36,276.40,273.94,274.95,
18-January-2019,275.31,275.78,272.74,273.45,
21-January-2019,274.27,274.54,270.31,270.88,
22-January-2019,271.00,271.23,267.21,268.44,
23-January-2019,268.95,270.91,267.24,267.77,
24-January-2019,268.40,268.85,267.05,267.76,
25-January-2019,268.43,270.19,264.56,265.22,
28-January-2019,265.99,265.99,260.58,260.80,
29-January-2019,260.36,263.96,259.33,261.99,
30-January-2019,263.57,263.99,260.58,262.55,
31-January-2019,263.75,266.43,262.16,265.92,
1-February-2019,265.68,265.68,259.53,261.89,
4-February-2019,261.57,261.65,254.92,257.48,
5-February-2019,257.69,258.29,252.49,253.34,
6-February-2019,253.39,256.59,249.88,255.85,
7-February-2019,256.46,257.88,254.77,256.47,
8-February-2019,254.77,255.18,246.86,247.58,
11-February-2019,247.53,247.72,243.19,245.87,
12-February-2019,246.50,249.35,245.60,246.85,
13-February-2019,247.85,248.21,243.13,243.54,
14-February-2019,243.05,243.55,239.30,243.00,
15-February-2019,244.37,244.81,240.81,242.71,
18-February-2019,243.94,245.25,241.14,241.35,
19-February-2019,241.68,246.91,241.56,244.50,
20-February-2019,245.96,250.90,245.68,250.01,
21-February-2019,250.91,253.07,249.56,252.47,
22-February-2019,252.70,257.22,252.26,256.68,
25-February-2019,257.76,258.02,255.06,256.36,
26-February-2019,253.87,257.67,250.42,256.85,
27-February-2019,258.02,259.67,253.83,254.81,
28-February-2019,255.38,257.82,254.48,256.99,
1-March-2019,258.26,263.02,258.26,262.70,
5-March-2019,263.44,272.82,262.71,272.39,
6-March-2019,273.77,276.41,272.56,273.81,
7-March-2019,275.26,275.83,272.27,272.92,
8-March-2019,272.62,272.62,268.50,269.92,
11-March-2019,269.88,277.08,269.79,276.33,
12-March-2019,278.08,279.90,276.23,276.94,
13-March-2019,276.98,276.98,271.92,274.34,
14-March-2019,274.85,276.03,272.83,275.30,
15-March-2019,275.89,279.72,275.30,279.26,
18-March-2019,280.36,282.81,279.99,282.29,
19-March-2019,284.71,287.09,282.92,285.32,
20-March-2019,285.97,286.09,279.75,280.20,
22-March-2019,280.57,282.19,277.43,278.15,
25-March-2019,276.81,280.88,275.51,280.12,
26-March-2019,281.59,283.62,281.50,283.12,
27-March-2019,284.29,284.49,281.50,281.90,
28-March-2019,282.64,283.76,282.00,282.94,
29-March-2019,284.63,289.65,284.63,289.22,
1-April-2019,291.56,294.31,290.78,291.48,
2-April-2019,293.28,293.81,290.32,292.16,
3-April-2019,293.48,294.23,287.24,287.80,
4-April-2019,287.96,288.39,285.42,286.87,
5-April-2019,287.95,291.03,287.02,290.27,
8-April-2019,290.82,291.38,285.67,286.69,
9-April-2019,286.36,289.63,284.73,289.21,
