Date,Open,High,Low,Close
9-January-2015,,,,1649.64,
12-January-2015,,,,1651.31,
13-January-2015,,,,1639.00,
14-January-2015,,,,1633.44,
15-January-2015,,,,1668.12,
16-January-2015,,,,1681.53,
19-January-2015,,,,1697.62,
20-January-2015,,,,1692.55,
21-January-2015,,,,1690.92,
22-January-2015,,,,1688.62,
23-January-2015,,,,1709.82,
27-January-2015,,,,1716.66,
28-January-2015,,,,1712.12,
29-January-2015,,,,1709.64,
30-January-2015,,,,1727.46,
2-February-2015,,,,1732.57,
3-February-2015,,,,1717.39,
4-February-2015,,,,1714.56,
5-February-2015,,,,1667.22,
6-February-2015,,,,1651.22,
9-February-2015,,,,1613.26,
10-February-2015,,,,1625.46,
11-February-2015,,,,1649.83,
12-February-2015,,,,1687.24,
13-February-2015,,,,1684.76,
16-February-2015,,,,1685.35,
18-February-2015,,,,1710.06,
19-February-2015,,,,1722.77,
20-February-2015,,,,1710.99,
23-February-2015,,,,1706.94,
24-February-2015,,,,1706.72,
25-February-2015,,,,1694.21,
26-February-2015,,,,1708.37,
27-February-2015,,,,1754.93,
28-February-2015,,,,1742.48,
2-March-2015,,,,1745.48,
3-March-2015,,,,1750.52,
4-March-2015,,,,1730.16,
5-March-2015,,,,1738.67,
9-March-2015,,,,1683.72,
10-March-2015,,,,1665.65,
11-March-2015,,,,1672.41,
12-March-2015,,,,1701.25,
13-March-2015,,,,1678.97,
16-March-2015,,,,1666.47,
17-March-2015,,,,1679.75,
18-March-2015,,,,1666.31,
19-March-2015,,,,1669.10,
20-March-2015,,,,1631.73,
23-March-2015,,,,1649.58,
24-March-2015,,,,1650.60,
25-March-2015,,,,1624.18,
26-March-2015,,,,1610.47,
27-March-2015,,,,1607.16,
30-March-2015,,,,1623.56,
31-March-2015,,,,1640.08,
1-April-2015,,,,1647.62,
6-April-2015,,,,1665.23,
7-April-2015,,,,1684.31,
8-April-2015,,,,1689.24,
9-April-2015,,,,1693.19,
10-April-2015,,,,1706.77,
13-April-2015,,,,1717.26,
15-April-2015,,,,1703.11,
16-April-2015,,,,1697.01,
17-April-2015,,,,1691.57,
20-April-2015,,,,1662.02,
21-April-2015,,,,1649.65,
22-April-2015,,,,1649.11,
23-April-2015,,,,1635.59,
24-April-2015,,,,1619.48,
27-April-2015,,,,1588.74,
28-April-2015,,,,1604.72,
29-April-2015,,,,1605.85,
30-April-2015,,,,1595.46,
4-May-2015,,,,1623.33,
5-May-2015,,,,1616.51,
6-May-2015,,,,1564.12,
7-May-2015,,,,1542.45,
8-May-2015,,,,1550.37,
11-May-2015,,,,1578.35,
12-May-2015,,,,1543.12,
13-May-2015,,,,1557.33,
14-May-2015,,,,1564.02,
15-May-2015,,,,1558.03,
18-May-2015,,,,1574.57,
19-May-2015,,,,1576.59,
20-May-2015,,,,1586.74,
21-May-2015,,,,1574.34,
22-May-2015,,,,1574.74,
25-May-2015,,,,1567.10,
26-May-2015,,,,1560.31,
27-May-2015,,,,1562.46,
28-May-2015,,,,1560.12,
29-May-2015,,,,1571.57,
1-June-2015,,,,1578.91,
2-June-2015,,,,1560.20,
3-June-2015,,,,1522.40,
4-June-2015,,,,1518.29,
5-June-2015,,,,1538.81,
8-June-2015,,,,1533.84,
9-June-2015,,,,1541.45,
10-June-2015,,,,1550.97,
11-June-2015,,,,1521.56,
12-June-2015,,,,1523.58,
15-June-2015,,,,1515.58,
16-June-2015,,,,1528.85,
17-June-2015,,,,1523.84,
18-June-2015,,,,1526.86,
19-June-2015,,,,1517.88,
22-June-2015,,,,1542.08,
23-June-2015,,,,1546.30,
24-June-2015,,,,1536.29,
25-June-2015,,,,1554.88,
26-June-2015,,,,1546.83,
29-June-2015,,,,1537.22,
30-June-2015,,,,1536.62,
1-July-2015,,,,1554.92,
2-July-2015,,,,1547.28,
3-July-2015,,,,1545.38,
6-July-2015,,,,1546.93,
7-July-2015,,,,1539.87,
8-July-2015,,,,1522.43,
9-July-2015,,,,1514.95,
10-July-2015,,,,1505.10,
13-July-2015,,,,1531.82,
14-July-2015,,,,1535.91,
15-July-2015,,,,1537.09,
16-July-2015,,,,1551.38,
17-July-2015,,,,1560.98,
20-July-2015,,,,1555.23,
21-July-2015,,,,1531.38,
22-July-2015,,,,1552.04,
23-July-2015,,,,1548.80,
24-July-2015,,,,1535.16,
27-July-2015,,,,1505.93,
28-July-2015,,,,1508.26,
29-July-2015,,,,1495.72,
30-July-2015,,,,1513.59,
31-July-2015,,,,1512.51,
3-August-2015,,,,1514.91,
4-August-2015,,,,1513.18,
5-August-2015,,,,1520.03,
6-August-2015,,,,1518.24,
7-August-2015,,,,1506.43,
10-August-2015,,,,1497.62,
11-August-2015,,,,1487.71,
12-August-2015,,,,1456.60,
13-August-2015,,,,1454.67,
14-August-2015,,,,1474.54,
17-August-2015,,,,1471.76,
18-August-2015,,,,1459.45,
19-August-2015,,,,1452.27,
20-August-2015,,,,1430.67,
21-August-2015,,,,1415.89,
24-August-2015,,,,1305.55,
25-August-2015,,,,1315.52,
26-August-2015,,,,1331.52,
27-August-2015,,,,1354.84,
28-August-2015,,,,1362.68,
31-August-2015,,,,1354.79,
1-September-2015,,,,1332.67,
2-September-2015,,,,1310.95,
3-September-2015,,,,1331.50,
4-September-2015,,,,1286.00,
7-September-2015,,,,1271.27,
8-September-2015,,,,1308.69,
9-September-2015,,,,1334.19,
10-September-2015,,,,1324.79,
11-September-2015,,,,1322.44,
14-September-2015,,,,1361.44,
15-September-2015,,,,1359.91,
16-September-2015,,,,1372.34,
18-September-2015,,,,1383.98,
21-September-2015,,,,1404.73,
22-September-2015,,,,1362.49,
