Date,Open,High,Low,Close
1-July-2019,744.16,747.51,742.40,743.04,
2-July-2019,744.10,746.15,741.74,745.69,
3-July-2019,747.74,748.40,744.08,744.59,
4-July-2019,746.25,746.71,744.49,745.52,
5-July-2019,747.39,748.03,732.47,733.78,
8-July-2019,732.28,732.28,720.36,722.57,
9-July-2019,723.84,723.84,715.00,718.53,
10-July-2019,718.46,721.68,713.40,714.21,
11-July-2019,716.16,720.06,713.83,719.47,
12-July-2019,721.21,723.36,717.76,719.35,
15-July-2019,724.39,724.39,718.70,722.02,
16-July-2019,721.67,729.77,719.65,728.92,
17-July-2019,729.43,732.69,727.74,731.31,
18-July-2019,730.73,731.83,723.77,724.60,
19-July-2019,726.22,727.27,712.51,713.61,
22-July-2019,714.89,715.10,707.62,712.91,
23-July-2019,715.02,718.00,713.16,713.99,
24-July-2019,714.40,715.22,704.38,711.25,
25-July-2019,713.40,715.29,709.29,709.79,
26-July-2019,709.18,715.79,707.12,714.21,
29-July-2019,713.76,714.36,706.80,709.87,
30-July-2019,710.05,713.74,700.81,702.25,
31-July-2019,701.09,711.50,695.88,710.44,
1-August-2019,709.63,710.69,698.94,704.56,
2-August-2019,702.77,710.02,696.34,707.47,
5-August-2019,706.35,709.62,700.40,707.33,
6-August-2019,705.10,715.54,704.81,712.61,
7-August-2019,713.37,716.40,710.80,712.06,
8-August-2019,712.86,725.80,712.63,724.89,
9-August-2019,726.07,731.83,724.99,728.30,
13-August-2019,729.41,729.45,718.23,719.65,
14-August-2019,723.11,725.45,718.81,723.14,
16-August-2019,723.86,724.32,715.77,723.20,
19-August-2019,725.53,729.19,721.79,722.88,
20-August-2019,723.63,727.51,722.35,724.31,
21-August-2019,724.77,726.41,721.44,722.42,
22-August-2019,722.79,722.84,715.80,716.69,
23-August-2019,717.28,723.13,715.63,721.08,
26-August-2019,729.90,729.90,712.65,726.80,
27-August-2019,728.11,734.26,726.11,730.07,
28-August-2019,729.21,732.17,726.42,729.41,
29-August-2019,729.29,734.19,726.15,732.39,
30-August-2019,735.34,740.62,728.94,738.89,
3-September-2019,737.45,738.05,727.56,728.97,
4-September-2019,730.53,732.07,723.35,727.95,
5-September-2019,730.18,736.30,729.93,732.81,
6-September-2019,733.25,736.30,730.77,735.66,
9-September-2019,735.67,739.73,733.26,739.26,
11-September-2019,739.75,741.68,737.34,738.17,
12-September-2019,738.70,740.93,732.84,733.52,
13-September-2019,736.04,740.65,731.80,740.24,
16-September-2019,738.21,742.26,735.94,741.52,
17-September-2019,741.00,741.50,732.60,733.34,
18-September-2019,736.20,738.83,732.03,737.47,
19-September-2019,738.63,738.63,729.16,731.09,
20-September-2019,731.76,765.93,728.86,764.78,
23-September-2019,774.23,781.60,767.51,769.02,
24-September-2019,772.32,773.20,766.92,769.95,
25-September-2019,769.65,769.67,760.41,762.40,
26-September-2019,764.10,770.51,763.36,768.97,
27-September-2019,770.76,771.47,765.66,768.37,
30-September-2019,768.98,771.71,763.63,770.28,
1-October-2019,772.00,773.14,753.41,758.24,
3-October-2019,757.56,758.26,750.90,752.32,
4-October-2019,753.61,755.27,744.44,744.98,
7-October-2019,747.36,747.40,741.47,743.79,
9-October-2019,746.04,750.65,741.08,749.51,
10-October-2019,750.71,750.81,745.27,747.72,
11-October-2019,747.61,752.03,745.46,751.05,
14-October-2019,752.83,756.68,751.10,754.82,
15-October-2019,755.75,762.36,754.60,759.12,
16-October-2019,761.88,763.82,758.88,761.79,
17-October-2019,762.39,770.24,760.32,769.61,
18-October-2019,770.30,777.63,768.78,777.39,
22-October-2019,775.70,778.17,771.72,773.56,
23-October-2019,774.58,777.63,770.42,775.96,
24-October-2019,776.07,779.11,768.18,770.01,
25-October-2019,772.74,773.31,760.02,764.19,
27-October-2019,767.23,769.88,763.54,765.55,
29-October-2019,766.41,770.56,758.30,769.84,
30-October-2019,774.43,776.23,771.61,775.31,
31-October-2019,777.77,781.49,776.37,780.43,
1-November-2019,780.82,786.01,780.09,781.05,
4-November-2019,783.66,786.24,781.20,783.14,
5-November-2019,784.56,785.01,777.95,781.82,
6-November-2019,784.89,787.76,779.85,784.88,
7-November-2019,787.86,791.16,785.05,790.12,
8-November-2019,792.43,792.43,780.38,781.16,
11-November-2019,782.04,783.29,776.88,778.33,
13-November-2019,779.55,782.81,770.88,772.79,
14-November-2019,772.03,772.03,766.44,768.82,
15-November-2019,769.55,773.25,768.79,770.19,
18-November-2019,770.67,771.21,765.45,766.58,
19-November-2019,769.22,769.94,765.46,767.42,
20-November-2019,771.28,771.46,765.04,769.46,
21-November-2019,772.17,772.21,763.88,764.84,
22-November-2019,765.13,765.13,752.31,756.00,
25-November-2019,759.74,767.94,756.99,767.44,
26-November-2019,767.99,768.75,755.18,756.78,
27-November-2019,758.53,762.90,757.26,762.07,
28-November-2019,763.94,770.10,762.32,768.98,
29-November-2019,769.44,772.82,764.20,767.21,
2-December-2019,769.69,770.64,761.44,763.03,
3-December-2019,764.53,764.60,754.15,755.85,
4-December-2019,755.94,761.05,754.70,759.76,
5-December-2019,760.11,761.28,753.63,754.69,
6-December-2019,756.01,757.81,748.97,750.05,
9-December-2019,752.88,753.04,747.09,749.32,
10-December-2019,750.92,750.92,740.70,741.24,
11-December-2019,742.84,745.22,738.82,742.88,
12-December-2019,744.43,748.55,743.27,744.47,
13-December-2019,748.01,751.86,747.57,751.45,
16-December-2019,754.16,754.22,746.51,747.33,
17-December-2019,750.31,753.78,748.88,751.42,
18-December-2019,752.37,755.08,751.03,754.14,
19-December-2019,755.27,756.58,753.21,755.61,
20-December-2019,756.97,760.94,756.31,759.89,
23-December-2019,760.28,761.99,757.17,759.79,
24-December-2019,761.09,761.09,756.62,757.20,
26-December-2019,759.26,760.00,754.51,755.65,
27-December-2019,756.50,761.81,755.95,760.69,
30-December-2019,761.48,765.34,760.78,763.23,
31-December-2019,763.62,763.62,757.83,758.70,
1-January-2020,761.13,761.94,760.13,761.22,
2-January-2020,762.56,763.45,760.48,761.82,
3-January-2020,762.17,763.56,760.52,761.52,
6-January-2020,760.65,760.65,749.97,750.76,
7-January-2020,752.49,756.76,751.74,752.69,
8-January-2020,750.64,751.36,745.85,750.82,
9-January-2020,754.19,759.96,754.07,759.37,
10-January-2020,759.93,766.75,759.93,764.73,
13-January-2020,767.84,773.33,767.41,772.43,
14-January-2020,774.04,780.24,772.61,779.71,
15-January-2020,779.74,782.71,776.76,781.94,
16-January-2020,783.96,786.21,780.75,782.99,
17-January-2020,781.68,783.30,779.11,781.70,
20-January-2020,784.09,784.09,775.92,777.16,
21-January-2020,778.32,778.36,774.40,775.61,
22-January-2020,775.54,777.18,772.43,773.99,
23-January-2020,774.46,780.56,773.57,779.63,
24-January-2020,780.07,788.66,779.21,787.50,
27-January-2020,787.67,788.59,781.23,782.12,
28-January-2020,783.60,784.17,775.92,777.10,
29-January-2020,779.97,784.71,779.97,783.32,
30-January-2020,784.55,784.55,764.09,765.73,
31-January-2020,770.10,770.19,756.33,757.33,
1-February-2020,760.69,764.63,747.66,749.34,
3-February-2020,751.07,758.65,747.43,754.29,
4-February-2020,759.59,766.11,759.12,764.61,
5-February-2020,768.29,769.57,762.95,767.51,
6-February-2020,770.58,772.78,765.90,767.24,
7-February-2020,770.04,770.36,767.30,769.00,
10-February-2020,770.25,770.25,761.34,761.83,
11-February-2020,764.65,766.20,760.44,761.06,
12-February-2020,763.91,769.65,763.52,768.34,
13-February-2020,770.86,770.92,765.69,768.20,
14-February-2020,767.87,769.42,758.69,760.01,
17-February-2020,762.90,762.90,756.00,756.28,
18-February-2020,757.38,757.44,745.62,751.85,
19-February-2020,755.39,763.24,755.24,762.77,
20-February-2020,764.14,765.91,759.64,760.23,
24-February-2020,763.45,763.45,748.29,749.42,
25-February-2020,750.26,756.29,747.30,749.58,
26-February-2020,749.82,749.84,740.08,741.65,
27-February-2020,742.94,743.20,734.31,740.71,
28-February-2020,731.47,731.55,710.47,711.94,
2-March-2020,718.49,729.10,707.51,711.87,
3-March-2020,716.56,727.63,714.92,724.76,
4-March-2020,727.06,728.87,715.91,726.70,
5-March-2020,729.64,733.71,725.74,726.74,
6-March-2020,715.21,715.33,705.43,711.44,
9-March-2020,705.09,705.48,677.49,683.36,
11-March-2020,683.34,691.85,675.55,686.42,
12-March-2020,667.63,667.63,636.31,641.88,
13-March-2020,625.47,657.95,577.87,643.50,
16-March-2020,641.33,641.33,601.29,605.10,
17-March-2020,606.95,616.70,595.49,598.59,
18-March-2020,606.35,607.93,570.60,573.92,
19-March-2020,559.66,568.53,538.12,551.26,
20-March-2020,553.69,590.46,552.22,585.11,
23-March-2020,560.64,563.77,525.88,528.82,
24-March-2020,538.40,553.71,528.63,541.70,
25-March-2020,536.03,561.86,535.52,558.73,
26-March-2020,568.40,586.95,561.88,583.40,
27-March-2020,599.29,603.18,576.88,579.57,
30-March-2020,576.94,583.54,565.28,577.56,
31-March-2020,588.97,604.78,582.54,601.29,
1-April-2020,604.48,604.48,582.75,586.63,
