Date,Open,High,Low,Close
5-October-2018,2983.20,2990.34,2894.10,2905.76,
8-October-2018,2907.68,2915.45,2832.40,2863.22,
9-October-2018,2866.95,2875.74,2794.84,2827.50,
10-October-2018,2844.52,2931.55,2843.41,2924.84,
11-October-2018,2880.81,2898.41,2840.50,2871.15,
12-October-2018,2884.59,2936.67,2883.95,2927.48,
15-October-2018,2940.17,2947.13,2912.01,2939.29,
16-October-2018,2950.98,2981.63,2949.38,2978.45,
17-October-2018,3005.16,3013.13,2908.43,2910.29,
19-October-2018,2900.17,2910.67,2868.28,2883.93,
22-October-2018,2899.52,2906.06,2846.71,2850.08,
23-October-2018,2836.35,2851.57,2805.98,2827.25,
24-October-2018,2844.51,2866.36,2830.43,2854.19,
25-October-2018,2840.80,2841.57,2803.85,2820.61,
26-October-2018,2823.15,2846.76,2801.05,2824.33,
29-October-2018,2842.97,2920.09,2826.38,2915.57,
30-October-2018,2924.41,2949.25,2912.02,2940.80,
31-October-2018,2950.00,2989.35,2919.28,2986.38,
1-November-2018,3023.03,3077.06,3023.03,3037.37,
2-November-2018,3062.16,3114.37,3060.13,3093.29,
5-November-2018,3099.53,3104.41,3070.29,3082.71,
6-November-2018,3089.07,3112.47,3079.73,3083.55,
7-November-2018,3106.20,3116.16,3102.14,3114.08,
9-November-2018,3113.46,3136.00,3108.39,3123.98,
12-November-2018,3132.23,3139.00,3092.69,3095.91,
13-November-2018,3092.47,3122.07,3083.07,3118.60,
14-November-2018,3124.74,3129.83,3092.41,3096.13,
15-November-2018,3099.59,3131.65,3098.13,3121.59,
16-November-2018,3128.38,3135.49,3103.82,3112.93,
19-November-2018,3120.93,3141.33,3114.08,3136.53,
20-November-2018,3134.11,3144.22,3112.78,3119.39,
21-November-2018,3123.63,3132.06,3104.80,3121.50,
22-November-2018,3126.00,3135.65,3110.45,3116.09,
26-November-2018,3128.12,3133.01,3101.84,3121.86,
27-November-2018,3124.60,3133.14,3109.38,3130.92,
28-November-2018,3135.26,3138.07,3090.25,3094.17,
29-November-2018,3109.36,3128.81,3102.13,3122.23,
30-November-2018,3125.75,3131.07,3108.20,3126.92,
3-December-2018,3137.31,3141.50,3114.61,3129.61,
4-December-2018,3135.26,3140.50,3126.36,3130.85,
5-December-2018,3121.40,3121.40,3065.41,3072.02,
6-December-2018,3065.25,3065.59,3022.56,3025.59,
7-December-2018,3036.93,3044.93,3021.13,3041.74,
10-December-2018,3013.16,3013.21,2976.88,2980.32,
11-December-2018,2958.09,3006.10,2950.85,2999.13,
12-December-2018,3006.57,3079.46,3006.07,3077.07,
13-December-2018,3095.74,3114.03,3092.78,3104.83,
14-December-2018,3106.77,3114.76,3090.05,3096.07,
17-December-2018,3089.48,3121.36,3089.45,3116.44,
18-December-2018,3116.36,3138.78,3110.92,3136.58,
19-December-2018,3146.53,3169.27,3145.86,3163.36,
20-December-2018,3161.02,3177.96,3150.54,3176.32,
21-December-2018,3185.13,3195.55,3124.28,3127.22,
24-December-2018,3132.52,3140.60,3093.82,3096.65,
26-December-2018,3096.57,3120.51,3048.21,3115.87,
27-December-2018,3130.41,3139.49,3118.01,3123.52,
28-December-2018,3124.26,3161.32,3124.07,3158.47,
31-December-2018,3169.25,3180.05,3163.50,3169.33,
1-January-2019,3179.15,3181.53,3162.03,3178.96,
2-January-2019,3177.40,3177.40,3129.47,3141.49,
3-January-2019,3146.11,3150.68,3099.08,3102.32,
4-January-2019,3113.83,3125.31,3086.26,3108.96,
7-January-2019,3125.82,3139.48,3101.14,3106.54,
8-January-2019,3111.24,3119.01,3092.86,3103.46,
9-January-2019,3119.83,3120.89,3092.24,3110.32,
10-January-2019,3114.74,3128.84,3109.30,3124.48,
11-January-2019,3129.96,3130.77,3089.05,3097.72,
14-January-2019,3097.51,3097.62,3055.54,3067.02,
15-January-2019,3074.91,3088.58,3070.10,3085.68,
16-January-2019,3089.75,3108.16,3086.82,3091.40,
17-January-2019,3095.50,3101.83,3073.32,3085.66,
18-January-2019,3091.25,3092.06,3048.88,3051.19,
21-January-2019,3024.76,3065.44,3021.54,3027.06,
22-January-2019,3027.43,3031.28,2990.80,3009.59,
23-January-2019,3017.95,3018.35,2995.64,2999.27,
24-January-2019,3002.19,3003.66,2966.72,2970.65,
25-January-2019,2982.65,2991.96,2929.12,2934.01,
28-January-2019,2947.84,2957.18,2884.11,2888.18,
29-January-2019,2892.70,2901.16,2870.07,2886.24,
30-January-2019,2895.24,2917.18,2890.80,2907.10,
31-January-2019,2919.40,2942.68,2912.91,2936.15,
1-February-2019,2948.17,2981.32,2939.66,2952.43,
4-February-2019,2955.73,2957.93,2907.20,2917.67,
5-February-2019,2917.81,2931.33,2884.63,2889.89,
6-February-2019,2897.77,2902.80,2863.36,2899.02,
7-February-2019,2906.44,2925.65,2898.40,2913.66,
8-February-2019,2893.75,2894.50,2834.65,2839.00,
11-February-2019,2837.14,2840.22,2778.39,2805.27,
12-February-2019,2808.51,2819.66,2789.55,2796.55,
13-February-2019,2801.74,2805.84,2765.11,2770.68,
14-February-2019,2774.47,2798.51,2760.04,2793.86,
15-February-2019,2804.95,2804.95,2768.05,2786.87,
18-February-2019,2788.87,2794.79,2761.39,2766.32,
19-February-2019,2770.72,2801.90,2769.78,2778.17,
20-February-2019,2786.74,2820.71,2786.10,2816.53,
21-February-2019,2824.81,2846.22,2810.60,2841.45,
22-February-2019,2843.47,2862.19,2830.82,2859.95,
25-February-2019,2861.11,2864.21,2848.63,2858.26,
26-February-2019,2846.51,2866.30,2805.74,2855.23,
27-February-2019,2865.23,2908.60,2853.41,2869.35,
28-February-2019,2880.56,2899.41,2869.55,2894.21,
1-March-2019,2908.20,2942.15,2906.83,2940.36,
5-March-2019,2950.02,3022.10,2922.36,3017.58,
6-March-2019,3029.48,3057.79,3027.94,3033.33,
7-March-2019,3042.23,3068.69,3026.29,3057.68,
8-March-2019,3058.16,3066.50,3036.64,3039.78,
11-March-2019,3047.91,3089.73,3047.77,3087.48,
12-March-2019,3102.15,3153.65,3102.14,3138.27,
13-March-2019,3141.25,3146.44,3124.07,3129.46,
14-March-2019,3131.87,3145.55,3118.10,3120.50,
15-March-2019,3123.64,3142.35,3120.95,3131.49,
18-March-2019,3134.26,3160.53,3109.82,3115.24,
19-March-2019,3115.06,3116.95,3097.05,3109.16,
20-March-2019,3117.49,3127.33,3103.66,3110.50,
22-March-2019,3117.59,3144.49,3106.24,3108.64,
25-March-2019,3101.02,3102.38,3064.40,3069.55,
26-March-2019,3074.86,3090.93,3072.27,3086.38,
27-March-2019,3093.40,3109.41,3075.45,3084.58,
28-March-2019,3093.77,3126.70,3089.61,3119.96,
29-March-2019,3130.14,3157.00,3130.10,3145.54,
1-April-2019,3157.33,3205.05,3157.33,3193.48,
2-April-2019,3199.87,3217.18,3183.07,3201.90,
3-April-2019,3210.11,3222.55,3159.96,3165.86,
4-April-2019,3180.49,3180.49,3144.56,3155.83,
5-April-2019,3164.49,3182.72,3160.59,3165.26,
8-April-2019,3170.22,3182.12,3139.11,3149.87,
9-April-2019,3154.36,3164.47,3135.32,3161.15,
10-April-2019,3165.88,3183.97,3155.18,3170.67,
11-April-2019,3172.81,3188.42,3168.33,3179.77,
12-April-2019,3187.65,3188.07,3171.66,3182.34,
15-April-2019,3189.57,3214.71,3189.57,3210.62,
16-April-2019,3216.18,3245.73,3216.05,3238.15,
18-April-2019,3244.68,3249.96,3206.98,3209.61,
22-April-2019,3208.33,3208.35,3169.10,3173.17,
